question_id,human_winner,confidence,notes
1,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
2,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
3,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
4,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
5,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
6,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
7,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
8,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
9,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
10,tie,medium,Nhãn thủ công ban đầu; cần đọc lại answer_a và answer_b trước khi nộp cuối cùng.
